Артикул;ID;Наименование
0-6522;c0b48385-15de-11e5-8d86-005056a700e0;- Нож Magnum FLINT 02MB393 Deer Hunter - 44334 (cталь 440)
0-6493;c0b48370-15de-11e5-8d86-005056a700e0;- Нож БН-малый (сталь К-340) , G10 на винтах, А.Чебурков
0-6531;c0b4838e-15de-11e5-8d86-005056a700e0;- Нож Дракон (Черное и Белое), (сталь булат)
0-6532;c0b4838f-15de-11e5-8d86-005056a700e0;Булатный нож 007 , И.Пампуха (нержавеющий булат)
0-6537;c0b48394-15de-11e5-8d86-005056a700e0;Булатный нож 007 , И.Пампуха (нержавеющий булат)
0-6538;c0b48395-15de-11e5-8d86-005056a700e0;Булатный нож 007 малый , И.Пампуха (нержавеющий булат)
0-6539;c0b48396-15de-11e5-8d86-005056a700e0;Булатный нож 007 малый , И.Пампуха (нержавеющий булат)
0-6533;c0b48390-15de-11e5-8d86-005056a700e0;Булатный нож 071 , И.Пампуха (нержавеющий булат)
0-6540;c0b48397-15de-11e5-8d86-005056a700e0;Булатный нож 077 малый , И.Пампуха (нержавеющий булат)
0-6534;c0b48391-15de-11e5-8d86-005056a700e0;Булатный нож 083 , И.Пампуха (нержавеющий булат)
0-6535;c0b48392-15de-11e5-8d86-005056a700e0;Булатный нож 083 малый , И.Пампуха (нержавеющий булат)
0-6536;c0b48393-15de-11e5-8d86-005056a700e0;Булатный нож 083 малый , И.Пампуха (нержавеющий булат)
0-6565;c83efe68-15de-11e5-8d86-005056a700e0;Дамасский нож Волк , венге
0-6567;c83efe6a-15de-11e5-8d86-005056a700e0;Клинок Волк (ХВ-5) мастер Жбанов
0-6516;c0b4837f-15de-11e5-8d86-005056a700e0;Мультитул Arhont AR501- 38641
0-6517;c0b48380-15de-11e5-8d86-005056a700e0;Мультитул Arhont AR502 - 38642
0-6518;c0b48381-15de-11e5-8d86-005056a700e0;Мультитул Arhont AR503 - 38643
0-6519;c0b48382-15de-11e5-8d86-005056a700e0;Мультитул Arhont AR700 - 38638
0-6520;c0b48383-15de-11e5-8d86-005056a700e0;Мультитул Arhont AR701- 38639
0-6515;c0b4837e-15de-11e5-8d86-005056a700e0;Мультитул Arhont AR702 - 38640
0-6521;c0b48384-15de-11e5-8d86-005056a700e0;Мультитул Arhont AR750T- 48086
0-6571;c83efe6e-15de-11e5-8d86-005056a700e0;"Нож ""Койот"" (сталь 440C) Р.В.С., ножны кайдекс"
0-6570;c83efe6d-15de-11e5-8d86-005056a700e0;"Нож ""Крок-М"" (сталь D2) Р.В.С., оружейная насечка, ножны кайдекс"
0-6572;c83efe6f-15de-11e5-8d86-005056a700e0;"Нож ""Первобытные пляски"" (сталь дамасск), сувель ореха, рог лося, автор В.Пашолок"
0-6569;c83efe6c-15de-11e5-8d86-005056a700e0;"Нож ""Тунец"" (Мозаичный дамасск Епишкина) мастер Миленин К."
0-6523;c0b48386-15de-11e5-8d86-005056a700e0;Нож Boker 01BO364 Gitano - 46040 (cталь 440C)
0-6507;c0b48376-15de-11e5-8d86-005056a700e0;Нож Steel Will 310 Courage 48279 (сталь 9Cr15MoV)
